Id,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
41,"Wonderchef Nutri-blend Mixer, Grinder & Blender | Powerful 400W 22000 RPM motor | Stainless steel Blades | 2 unbreakable j...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61BGNSBBwYL._AC_UL320_.jpg,https://www.amazon.in/Wonderchef-Nutri-Blend-Watts-Juicer-Grinder/dp/B00W56GLOQ/ref=sr_1_42?qid=1679135586&s=appliances&sr=1-42,3.9,"26,915","₹2,699","₹5,000"
42,"HealthSense Chef-Mate KS 33 Digital Kitchen Weighing Scale & Food Weight Machine for Health, Fitness, Home Baking & Cookin...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51OYFH+NrFS._AC_UL320_.jpg,https://www.amazon.in/Health-Sense-Chef-Mate-Digital-Scale-KS33/dp/B013B2WGT6/ref=sr_1_43?qid=1679135586&s=appliances&sr=1-43,4.3,"15,608","₹1,099","₹1,899"
43,USHA EI 1602 1000 W Lightweight Dry Iron with Non-Stick Soleplate (Multi-colour),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61S+GSuRHkL._AC_UL320_.jpg,https://www.amazon.in/Usha-EI-1602-1000-Watt-Lightweight/dp/B008YW3CYM/ref=sr_1_44?qid=1679135586&s=appliances&sr=1-44,4.1,"37,716",₹649,"₹1,290"
44,Prestige IRIS Plus 750 watt mixer grinder,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51HfqyUaHyL._AC_UL320_.jpg,https://www.amazon.in/Prestige-IRIS-mixer-grinder-Black/dp/B08CFJBZRK/ref=sr_1_45?qid=1679135586&s=appliances&sr=1-45,3.8,"14,663","₹3,249","₹6,295"
45,"Pigeon 1.5 litre Hot Kettle and Stainless Steel Water Bottle Combo used for boiling Water, Making Tea and Coffee, Instant ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51VvdjBgB5L._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Stainless-boiling-Instant-Noodles/dp/B09Y5FZK9N/ref=sr_1_46?qid=1679135586&s=appliances&sr=1-46,3.6,"1,669",₹799,"₹1,545"
46,"Samsung 7 kg Fully-Automatic Top Loading Washing Machine (WA70A4002GS/TL, Imperial Silver, Diamond drum)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/510mV2GAtkL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Fully-Automatic-WA70A4002GS-TL-Imperial/dp/B08GXYZFNB/ref=sr_1_47?qid=1679135586&s=appliances&sr=1-47,4.4,"24,086","₹15,790","₹21,000"
47,HUL Pureit Germkill kit for Classic 14 L water purifier - 1250 L Capacity,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61MZ5sEJ+HL._AC_UL320_.jpg,https://www.amazon.in/HUL-Pureit-Germkill-Classic-Purifier/dp/B00H3GWW32/ref=sr_1_48?qid=1679135586&s=appliances&sr=1-48,4.2,"15,454",,₹580
48,"StyleHouse Lint Remover for Woolen Clothes, Electric Lint Remover, Best Lint Shaver for Clothes",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71SaXp5qZvL._AC_UL320_.jpg,https://www.amazon.in/StyleHouse-Remover-Woolen-Clothes-Electric/dp/B07NCKMXVZ/ref=sr_1_49?qid=1679135588&s=appliances&sr=1-49,4.1,"4,986",₹405,₹999
49,"Prestige 1.5 Litre Kettle 1500-watts, Red",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/511wIb+y8BL._AC_UL320_.jpg,https://www.amazon.in/Prestige-1-5-Kettle-1500-watts-Red/dp/B07VNFP3C2/ref=sr_1_50?qid=1679135588&s=appliances&sr=1-50,3.9,"33,077",₹679,"₹1,245"
50,CROMPTON SUREBREEZE SEA Sapphira 1200 mm (48 inch) Ceiling Fan (Lustre Brown) 1 Star,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41APqPHuqtL._AC_UL320_.jpg,https://www.amazon.in/CROMPTON-SUREBREEZE-Sapphira-Ceiling-Lustre/dp/B0BTS9GG2V/ref=sr_1_51?qid=1679135588&s=appliances&sr=1-51,3.9,"2,507","₹1,499","₹2,599"
51,"Butterfly Jet Elite Mixer Grinder, 750W, 4 Jars (Grey)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81aALsqzUlL._AC_UL320_.jpg,https://www.amazon.in/Butterfly-Jet-Elite-750-Watt-Grinder/dp/B07DGD4Z4C/ref=sr_1_52?qid=1679135588&s=appliances&sr=1-52,3.9,"26,081","₹2,999","₹5,795"
52,"E-Cosmos Refrigerator Stand, Washing Machine Stand, Furniture Base Stand, Fridge Stands for Single Door and Double Door (P...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61REJkkYbwL._AC_UL320_.jpg,https://www.amazon.in/COSMOS-Refrigerator-Washing-Machine-Furniture/dp/B09CDVQFQ7/ref=sr_1_53?qid=1679135588&s=appliances&sr=1-53,4.1,"8,939",,₹149
53,"Prestige Sandwich Maker PGMFD 01, Black",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51P5A28trLL._AC_UL320_.jpg,https://www.amazon.in/Prestige-Sandwich-Maker-PGMFD-01/dp/B07S851WX5/ref=sr_1_54?qid=1679135588&s=appliances&sr=1-54,4.2,"41,493",,"₹1,299"
54,"VR 18 Pcs - 3 Different Size Plastic Food Snack Bag Pouch Clip Sealer Large, Medium, Small Plastic Snack Seal Sealing Bag ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71dP2SV0GLL._AC_UL320_.jpg,https://www.amazon.in/VR-Pcs-Different-Multi-Color-Multicolor/dp/B08F47T4X5/ref=sr_1_55?qid=1679135588&s=appliances&sr=1-55,4.2,"20,011",₹129,₹139
55,"Venus Electronic Digital Kitchen Weighing Scale, Food Weight Machine for Home, Baking, Health 10 kg Battries Included",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71TCEJIMwUL._AC_UL320_.jpg,https://www.amazon.in/Venus-Electronic-Weighing-Battries-Included/dp/B09ZPJZDFL/ref=sr_1_56?qid=1679135588&s=appliances&sr=1-56,3.8,667,₹299,"₹1,599"
56,"Philips HR3705/10 300 Watt Lightweight Hand Mixer, Blender with 5 speed control settings, stainless steel accessories and ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41tDUmnDITL._AC_UL320_.jpg,https://www.amazon.in/Philips-Daily-Collection-HR3705-300-Watt/dp/B07GDR7VZ3/ref=sr_1_57?qid=1679135588&s=appliances&sr=1-57,4.5,"19,482","₹2,049","₹2,595"
57,Finalize Tap Water Purifier Filter Faucet 6 Layer Carbon Activated Dust Chlorine Remover Water Softener for Drinking Cartr...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41DyZIeEX7L._AC_UL320_.jpg,https://www.amazon.in/Finalize-Purifier-Activated-Cartridge-Multicolor/dp/B0BPXXK9CJ/ref=sr_1_58?qid=1679135588&s=appliances&sr=1-58,4.1,77,₹209,₹999
58,"Bajaj PYGMY MINI 110 MM PERSONAL FAN - WHITE SMOKE, small",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Dm+JU52xL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-PYGMY-MINI-110-PERSONAL/dp/B08VRGH6NM/ref=sr_1_59?qid=1679135588&s=appliances&sr=1-59,4.2,"2,208",₹898,"₹1,785"
59,"PHILIPS Digital Air Fryer HD9252/90 with Touch Panel, uses up to 90% less fat, 7 Pre-set Menu, 1400W, 4.1 Liter, with Rapi...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51PwsOOMErL._AC_UL320_.jpg,https://www.amazon.in/PHILIPS-Digital-HD9252-90-Technology/dp/B097RJ867P/ref=sr_1_60?qid=1679135588&s=appliances&sr=1-60,4.5,"3,239","₹9,399","₹12,595"
60,KENT 16020 Instant Egg Boiler | 3 Boiling Modes | Upto 7 Egg at a Time | Automatic Operation | Easy and Quick Operation | ...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71YhvOR+1cL._AC_UL320_.jpg,https://www.amazon.in/Kent-Instant-Boiler-360-Watt-Transparent/dp/B0791GQRPF/ref=sr_1_61?qid=1679135588&s=appliances&sr=1-61,4.3,"25,723",₹999,"₹1,800"
61,Borosil Chef Delite BCH20DBB21 300-Watt Chopper (Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51M2WpKwb-L._AC_UL320_.jpg,https://www.amazon.in/Borosil-Plastic-Chefdelite-BCH20DBB21-Technology/dp/B01M5B0TPW/ref=sr_1_62?qid=1679135588&s=appliances&sr=1-62,4.4,"8,306","₹1,829","₹2,490"
